asset_id,local_path,title,creator,year,source_url,license,attribution,role,notes
met-geometric, ,Geometric Art in Ancient Greece,The Metropolitan Museum of Art,2004,https://www.metmuseum.org/toah/hd/grge/hd_grge.htm,link_only,The Metropolitan Museum of Art,primary,Institutional period overview; no image bundled.
met-252849,references/primary/geometric-skyphos.jpg,Skyphos,Greek Attic,ca. 800-750 BCE,https://www.metmuseum.org/art/collection/search/252849,public_domain_open_access,The Metropolitan Museum of Art,primary,Downloaded Open Access image; terracotta geometric vessel.
met-240180,references/primary/geometric-bowl.jpg,Bowl,Greek Attic,8th century BCE,https://www.metmuseum.org/art/collection/search/240180,public_domain_open_access,The Metropolitan Museum of Art,primary,Downloaded Open Access image; geometric key-fret panel.
met-253621,references/primary/geometric-pitcher.jpg,Terracotta pitcher,Greek Attic,ca. 750-725 BCE,https://www.metmuseum.org/art/collection/search/253621,public_domain_open_access,The Metropolitan Museum of Art,primary,Downloaded Open Access image; Late Geometric II vessel.
met-248290,references/primary/geometric-bowl-high-stand.jpg,Terracotta bowl on a high stand,Greek Attic,late 8th century BCE,https://www.metmuseum.org/art/collection/search/248290,public_domain_open_access,The Metropolitan Museum of Art,primary,Downloaded Open Access image; Geometric/Early Protoattic transition.
