asset_id,local_path,title,creator,year,source_url,license,attribution,role,notes
gauguin-vision-sermon,references/primary/vision-after-sermon.jpg,Vision After the Sermon,Paul Gauguin,1888,https://commons.wikimedia.org/wiki/File:La_vision_apr%C3%A8s_le_sermon_%28Paul_Gauguin%29.jpg,public_domain,Wikimedia Commons; Paul Gauguin,primary,Flattened symbolic color and contour.
gauguin-where-we-come,references/secondary/where-do-we-come-from.jpg,Where Do We Come From? What Are We? Where Are We Going?,Paul Gauguin,1897-1898,https://commons.wikimedia.org/wiki/File:Gauguin_-_Where_Do_We_Come_From%3F_What_Are_We%3F_Where_Are_We_Going%3F_%281897-98%29.jpg,public_domain,Wikimedia Commons; Paul Gauguin,secondary,Compressed narrative space and broad color zones.
