asset_id,local_path,title,creator,year,source_url,license,attribution,role,notes
met-hellenistic, ,Art of the Hellenistic Age and the Hellenistic Tradition,The Metropolitan Museum of Art,2004,https://www.metmuseum.org/toah/hd/haht/hd_haht.htm,link_only,The Metropolitan Museum of Art,primary,Institutional period overview; no image bundled.
met-248120,references/primary/hellenistic-fighting-gaul.jpg,Marble statue of a fighting Gaul,Greek,2nd or 1st century BCE,https://www.metmuseum.org/art/collection/search/248120,public_domain_open_access,The Metropolitan Museum of Art,primary,Downloaded Open Access image; Late Hellenistic movement and costume.
met-250541,references/primary/hellenistic-athlete.jpg,Small marble statue of an athlete,Greek,3rd or 2nd century BCE,https://www.metmuseum.org/art/collection/search/250541,public_domain_open_access,The Metropolitan Museum of Art,primary,Downloaded Open Access image; athletic variety and pose.
met-252553,references/primary/hellenistic-girl-with-pet.jpg,Marble statuette of a girl,Greek,3rd century BCE,https://www.metmuseum.org/art/collection/search/252553,public_domain_open_access,The Metropolitan Museum of Art,primary,Downloaded Open Access image; childhood and everyday subject.
met-258495,references/primary/hellenistic-attendant.jpg,Marble and limestone statue of an attendant,Greek South Italian Tarentine,late 4th or 3rd century BCE,https://www.metmuseum.org/art/collection/search/258495,public_domain_open_access,The Metropolitan Museum of Art,primary,Downloaded Open Access image; mixed materials and funerary context.
