asset_id,local_path,title,creator,year,source_url,license,attribution,role,notes
nadar-sarah-bernhardt,references/primary/sarah-bernhardt.jpg,Sarah Bernhardt,Félix Nadar,1864,https://commons.wikimedia.org/wiki/File:Sarah_Bernhardt,_par_Nadar,_1864.jpg,public_domain,Wikimedia Commons; Nadar,primary,Studio pose and tonal portrait structure.
nadar-self-portrait,references/secondary/self-portrait.jpg,Self-portrait,Félix Nadar,1890s,https://commons.wikimedia.org/wiki/File:Autoportrait_de_Félix_Nadar_-_edit.jpg,public_domain,Wikimedia Commons; Nadar,secondary,Soft historical print tone and body axis.
