asset_id,local_path,title,creator,year,source_url,license,attribution,role,notes
to-the-moon-steam-01,,To the Moon official screenshot,Freebird Games,2011,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/206440/ss_9885a7091273a238f86165b85350d35fec639c3f.1920x1080.jpg,reference_only_no_redistribution,Freebird Games,primary,Obtained and inspected locally; not bundled in this repository.
to-the-moon-steam-02,,To the Moon official screenshot,Freebird Games,2011,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/206440/ss_5e021433f5a32ec7ad031ce61c52c1ba4b2ecf9f.1920x1080.jpg,reference_only_no_redistribution,Freebird Games,secondary,Obtained and inspected locally; not bundled in this repository.
impostor-factory-steam-01,,Impostor Factory official screenshot,Freebird Games,2021,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1182620/ss_74f8c25d19eab5d5081c0a544fc3aac2fb568b93.1920x1080.jpg,reference_only_no_redistribution,Freebird Games,primary,Obtained and inspected locally; not bundled in this repository.
impostor-factory-steam-02,,Impostor Factory official screenshot,Freebird Games,2021,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1182620/ss_c1835a7236fcbbf1fc074d98ee4e7e000a4c8354.1920x1080.jpg,reference_only_no_redistribution,Freebird Games,secondary,Obtained and inspected locally; not bundled in this repository.
