asset_id,local_path,title,creator,year,source_url,license,attribution,role,notes
central-saint-martins-home,,Central Saint Martins home,University of the Arts London,,https://www.arts.ac.uk/colleges/central-saint-martins/home,link_only,研究来源：学院公开定位页面。,primary,仅保留链接，不打包校方图片。
central-saint-martins-gcd,,Graphic Communication Design programme,University of the Arts London,,https://www.arts.ac.uk/colleges/central-saint-martins/about-us/our-programmes/graphic-communication-design-programme,link_only,研究来源：课程与实践页面。,secondary,仅保留链接，不打包学生作品。
