asset_id,local_path,title,creator,year,source_url,license,attribution,role,notes
met-archaic, ,Greek Art in the Archaic Period,The Metropolitan Museum of Art,2004,https://www.metmuseum.org/toah/hd/argk/hd_argk.htm,link_only,The Metropolitan Museum of Art,primary,Institutional period overview; no image bundled.
met-240424,references/primary/archaic-siren-vase.jpg,Terracotta vase in the form of a siren,East Greek Rhodian,ca. 550-500 BCE,https://www.metmuseum.org/art/collection/search/240424,public_domain_open_access,The Metropolitan Museum of Art,primary,Downloaded Open Access image; zoomorphic vessel.
met-256166,references/primary/archaic-aryballos-boy.jpg,Terracotta aryballos in the form of a boy,East Greek,ca. 540-530 BCE,https://www.metmuseum.org/art/collection/search/256166,public_domain_open_access,The Metropolitan Museum of Art,primary,Downloaded Open Access image; figural perfume vessel.
met-254709,references/primary/archaic-neck-amphora-chariot.jpg,Terracotta neck-amphora,Greek Attic,ca. 500 BCE,https://www.metmuseum.org/art/collection/search/254709,public_domain_open_access,The Metropolitan Museum of Art,primary,Downloaded Open Access image; black-figure chariot scene.
met-246113,references/primary/archaic-neck-amphora-athena.jpg,Terracotta neck-amphora,Greek Attic,ca. 540-530 BCE,https://www.metmuseum.org/art/collection/search/246113,public_domain_open_access,The Metropolitan Museum of Art,primary,Downloaded Open Access image; black-figure narrative and ornament.
