asset_id,local_path,title,creator,year,source_url,license,attribution,role,notes
munch-scream,references/primary/the-scream.jpg,The Scream,Edvard Munch,1893,https://commons.wikimedia.org/wiki/File:Edvard_Munch_-_The_Scream_-_Google_Art_Project.jpg,public_domain,Wikimedia Commons; Edvard Munch,primary,Downloaded public-domain image used for rhythmic line and psychological color analysis.
munch-madonna,references/secondary/madonna.jpg,Madonna,Edvard Munch,1894-1895,https://commons.wikimedia.org/wiki/File:Edvard_Munch_-_Madonna_(1894-1895).jpg,public_domain,Wikimedia Commons; Edvard Munch,secondary,Downloaded public-domain image used for figure contour and unstable flesh-color analysis.
