asset_id,local_path,title,creator,year,source_url,license,attribution,role,notes
platinum-process-nga,,Platinum and Palladium Photography: Making a Print,National Gallery of Art,,https://www.nga.gov/stories/videos/platinum-and-palladium-photography-making-print,link_only,研究入口：美国国家美术馆工艺说明；本包为独立视觉分析。,primary,Link-only reference; do not redistribute external photographs.
platinum-getty,,In Focus: Platinum Photographs,J. Paul Getty Museum,,https://www.getty.edu/art/exhibitions/focus_platinum/index.html,link_only,研究入口：盖蒂铂金摄影专题；本包为独立视觉分析。,secondary,Link-only reference; do not redistribute external photographs.
platinum-nga-research,,Stieglitz’s Practices and Processes,National Gallery of Art,,https://www.nga.gov/research/publications/alfred-stieglitz-key-set/stieglitzs-practices-processes,link_only,研究入口：铂钯工艺研究；本包为独立视觉分析。,secondary,Link-only reference; do not redistribute external photographs.
