asset_id,local_path,title,creator,year,source_url,license,attribution,role,notes
met-classical, ,The Art of Classical Greece (ca. 480-323 B.C.),The Metropolitan Museum of Art,2004,https://www.metmuseum.org/toah/hd/tacg/hd_tacg.htm,link_only,The Metropolitan Museum of Art,primary,Institutional period overview; no image bundled.
met-255034,references/primary/classical-woman-statuette.jpg,Terracotta statuette of a woman,Greek Corinthian,early 5th century BCE,https://www.metmuseum.org/art/collection/search/255034,public_domain_open_access,The Metropolitan Museum of Art,primary,Downloaded Open Access image; early Classical terracotta.
met-255027,references/primary/classical-woman-walking.jpg,Terracotta statuette of a woman,Greek Attic,mid-5th century BCE,https://www.metmuseum.org/art/collection/search/255027,public_domain_open_access,The Metropolitan Museum of Art,primary,Downloaded Open Access image; walking figure.
met-248309,references/primary/classical-marble-woman.jpg,Marble statue of a woman,Greek Attic,late 4th century BCE,https://www.metmuseum.org/art/collection/search/248309,public_domain_open_access,The Metropolitan Museum of Art,primary,Downloaded Open Access image; Late Classical drapery and figure.
met-248670,references/primary/classical-horseman-relief.jpg,Marble relief with a horseman,Greek,4th century BCE,https://www.metmuseum.org/art/collection/search/248670,public_domain_open_access,The Metropolitan Museum of Art,primary,Downloaded Open Access image; relief composition and movement.
