asset_id,local_path,title,creator,year,source_url,license,attribution,role,notes
eastman-process-glossary,,Photographic Processes Video Series Glossary,George Eastman Museum,,https://www.eastman.org/photographic-processes-video-series-glossary,link_only,George Eastman Museum,primary,Process description; no image bundled.
moderna-gum-process,,Photographic Processes and Materials around 1900,Moderna Museet,,https://www.modernamuseet.se/stockholm/en/exhibitions/art-photography-1900/photographic-processes-and-materials/,link_only,Moderna Museet,secondary,Historical process context; no image bundled.
