asset_id,local_path,title,creator,year,source_url,license,attribution,role,notes
vermeer-milkmaid,references/primary/the-milkmaid.jpg,The Milkmaid,Johannes Vermeer,c. 1660,https://commons.wikimedia.org/wiki/File:Johannes_Vermeer_-_Het_melkmeisje_-_Google_Art_Project.jpg,public_domain,Wikimedia Commons; Johannes Vermeer,primary,Directional interior light and material transitions.
vermeer-view-delft,references/secondary/view-of-delft.jpg,View of Delft,Johannes Vermeer,c. 1660-1661,https://commons.wikimedia.org/wiki/File:View_of_Delft,_by_Johannes_Vermeer.jpg,public_domain,Wikimedia Commons; Johannes Vermeer,secondary,Quiet cityscape geometry and controlled atmosphere.
